timesteps,total_reward,kl_divergence,entropy_loss,clip_fraction,step_reward,pipe_changes,cumulative_budget,pressure_deficit,demand_satisfaction,cost_of_intervention,simulation_success,weighted_cost,weighted_pd,weighted_demand
13728,0.0,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.0,,,,,,False,,,
13740,0.0,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.0,,,,,,False,,,
13746,0.3983994700850316,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.3983994700850316,1.0,1601039.51877307,318.23123214721676,0.2615689021794565,898960.48122693,True,0.04041580750922798,0.29280899057579407,0.0651746720000096
13752,0.10037627827388912,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.10037627827388912,1.0,851980.2144577928,14067.763830566402,0.05662080307550083,749059.3043152773,True,0.10037627827388912,0.0,0.0
13764,0.0,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.0,,,,,,False,,,
13770,0.3812300548247809,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.3812300548247809,1.0,1750940.6959298751,847.2977785110477,0.05662080307550083,749059.3040701248,True,0.1003762783719501,0.28085377645283083,0.0
13776,0.0,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.0,,,,,,False,,,
13788,0.0,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.0,,,,,,False,,,
13794,0.49509921955046654,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.49509921955046654,1.0,1841513.752915955,346.07561777114864,0.2645489995708613,658486.2470840451,True,0.13660550116638195,0.2926198160146989,0.06587390236938574
13800,0.0,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.0,,,,,,False,,,
13806,0.0,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.0,,,,,,False,,,
13824,0.0,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.0,,,,,,False,,,
13836,0.11120648764326396,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.11120648764326396,1.0,569725.4607104398,12797.303808593748,0.05603669618078265,749038.301349371,True,0.1003846794602516,0.01082180818301236,0.0
13842,0.0,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.0,,,,,,False,,,
13848,0.0,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.0,,,,,,False,,,
13860,0.0,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.0,,,,,,False,,,
13866,0.0,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.0,,,,,,False,,,
13872,0.0,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.0,,,,,,False,,,
13878,0.10038259601230376,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.10038259601230376,1.0,1750956.4900307595,13023.735815429685,0.05603669618078265,749043.5099692406,True,0.10038259601230376,0.0,0.0
13890,0.0,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.0,,,,,,False,,,
13896,0.0,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.0,,,,,,False,,,
13902,0.0,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.0,,,,,,False,,,
13908,0.0,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.0,,,,,,False,,,
13914,0.4148529436348042,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.4148529436348042,0.0,2495152.5677977763,5864.947927856445,0.0559730550523121,4847.432202223644,True,0.39806102711911057,0.0,0.01679191651569363
13920,0.16045640969107133,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.16045640969107133,1.0,1836675.3271357361,2249.818204956054,0.07949101985295798,658477.2406620402,True,0.13660910373518395,0.0,0.023847305955887393
13932,0.0,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.0,,,,,,False,,,
13938,0.0,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.0,,,,,,False,,,
13950,0.0,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.0,,,,,,False,,,
13956,0.016986240922650248,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.016986240922650248,1.0,1315137.6557977763,5854.378805541992,0.05662080307550083,1184862.3442022237,True,0.0,0.0,0.016986240922650248
13962,0.05719563921306409,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.05719563921306409,1.0,415661.1515238109,12843.258703613279,0.05662080307550083,899476.5042739654,True,0.04020939829041384,0.0,0.016986240922650248
13974,0.0,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.0,,,,,,False,,,
13980,0.8402700645040944,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.8402700645040944,0.0,2495188.0062094256,147.43909950256347,0.5143304020651381,4811.993790574502,True,0.3980752024837702,0.2964882908401497,0.14570657118017444
13986,0.0,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.0,,,,,,False,,,
13998,0.0,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.0,,,,,,False,,,
14004,0.8551156182470941,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.8551156182470941,0.0,2495201.572446587,76.04235566139221,0.5556896654964423,4798.427553412873,True,0.3980806289786349,0.2981889039094826,0.15884608535897674
14010,0.0,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.0,,,,,,False,,,
14016,0.1686590769276152,0.012874673120677471,-1.7789462883025409,0.20198567708333334,0.1686590769276152,1.0,1841502.8717287537,1316.8743496704099,0.10685976078704565,658497.1282712463,True,0.1366011486915015,0.0,0.03205792823611369
