timesteps,total_reward,kl_divergence,entropy_loss,clip_fraction,step_reward,pipe_changes,cumulative_budget,pressure_deficit,demand_satisfaction,cost_of_intervention,simulation_success,weighted_cost,weighted_pd,weighted_demand
4214,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10133611.0,84765.9,3.2397060899103326e-08,258096.0,True,0.32473013333333334,0.32220977544784546,0.0
4300,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10216710.299999999,40331.047,1.2760549016355639e-07,258096.0,True,0.32473013333333334,0.32752462538580096,4.2535163387852124e-08
4372,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10346004.1,114397.08,2.2403036548552096e-07,371013.0,True,0.3209662333333333,0.3174347219367822,1.1228362662782058e-08
4429,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10140520.8,9882.222,2.2146746067014045e-07,648190.0,True,0.311727,0.33203652097533143,3.275193228103811e-08
4485,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10026228.2,8289.541,3.339570737016317e-07,161310.0,True,0.3279563333333333,0.3321274360641837,4.6367547787880726e-08
4565,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10226498.9,2499.044,1.2760549016355639e-07,625485.0,True,0.3124838333333333,0.3329734067277362,4.2535163387852124e-08
4637,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10151415.099999998,45041.016,2.2403036548552096e-07,371013.0,True,0.3209662333333333,0.3270736485719681,1.1228362662782058e-08
4704,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10194253.5,527.25006,1.4672357737607234e-07,277453.2,True,0.32408489333333335,0.3332600574746417,0.0
4761,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10101113.1,527.25006,-3.727261717047468e-08,854943.0,True,0.3048352333333333,0.33325749349993805,5.2152990717735804e-08
4834,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10159828.899999999,105439.81,1.601831479125174e-07,467799.0,True,0.31774003333333334,0.31784049794077873,9.870896895435473e-09
4891,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10398077.8,527.25006,-3.664067308330631e-07,854943.0,True,0.3048352333333333,0.33325586166271626,0.0
4950,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10057101.7,1738.3083,2.2146746067014045e-07,264511.0,True,0.3245163,0.33310522069223225,3.275193228103811e-08
5000,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10098302.899999999,28332.441,-3.664067308330631e-07,667758.0,True,0.3110747333333333,0.3291702962790926,0.0
5065,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10491975.399999999,73109.305,3.339570737016317e-07,516192.0,True,0.3161269333333333,0.3226979660491148,4.6367547787880726e-08
5145,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10201794.899999999,264239.66,3.2397060899103326e-08,1129170.0,True,0.2956943333333333,0.29865800837675727,0.0
5199,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10524519.299999999,14117.172,-1.4921014094110276e-07,538120.0,True,0.315396,0.3313000975176692,0.0
5259,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10094934.6,76921.33,1.4672357737607234e-07,207910.0,True,0.326403,0.3226430043578148,0.0
5326,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10063695.399999999,1144.2041,3.339570737016317e-07,153690.59999999998,True,0.3282103133333333,0.3331668835210924,4.6367547787880726e-08
5386,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10226628.0,28970.836,1.4672357737607234e-07,274227.0,True,0.3241924333333333,0.32930704113096,0.0
5441,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10120543.399999999,23479.12,1.4672357737607234e-07,305205.0,True,0.3231598333333333,0.3300702655687928,0.0
5508,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10198426.399999999,527.25006,-1.4921014094110276e-07,210356.0,True,0.3263214666666666,0.33325739576442476,0.0
5567,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10282657.299999999,30331.828,-3.727261717047468e-08,419406.0,True,0.3193531333333333,0.32897039254506427,5.2152990717735804e-08
5626,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10073544.8,60011.273,-3.664067308330631e-07,419406.0,True,0.3193531333333333,0.32451555629571277,0.0
5691,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10005560.8,2102.1553,1.4672357737607234e-07,391360.0,True,0.320288,0.33304118120577186,0.0
5746,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10320306.700000001,45395.113,1.4672357737607234e-07,483930.0,True,0.3172023333333333,0.3270244374871254,0.0
5819,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10073509.899999999,178930.45,2.2403036548552096e-07,467799.0,True,0.31774003333333334,0.30846603959798813,1.1228362662782058e-08
5874,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10162481.7,527.25006,1.4672357737607234e-07,366900.0,True,0.3211033333333333,0.3332600574746417,0.0
5953,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10153424.1,98537.42,3.2397060899103326e-08,387144.0,True,0.3204285333333333,0.3204025824864705,0.0
6010,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10523446.899999999,527.25006,-3.727261717047468e-08,648190.0,True,0.311727,0.33325749349993805,5.2152990717735804e-08
6072,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10205002.499999998,75432.06,-3.727261717047468e-08,241965.0,True,0.3252678333333333,0.3224831583599249,5.2152990717735804e-08
6139,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10164014.1,8110.245,1.4672357737607234e-07,210356.0,True,0.3263214666666666,0.33220619234877324,0.0
6196,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-10717546.0,527.25006,1.4672357737607234e-07,854943.0,True,0.3048352333333333,0.3332600574746417,0.0
6277,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-10009058.2,148053.19,2.2403036548552096e-07,195680.0,True,0.32681066666666664,0.3127572822074095,1.1228362662782058e-08
6340,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-10378080.2,14138.192,3.339570737016317e-07,483930.0,True,0.3172023333333333,0.331276620272547,4.6367547787880726e-08
6414,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-10137799.6,33555.414,1.2760549016355639e-07,145179.0,True,0.3284940333333333,0.3285004909460743,4.2535163387852124e-08
6481,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-10074171.6,147466.77,-1.4921014094110276e-07,174984.2,True,0.3275005266666666,0.3120943258206049,0.0
6577,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-10130013.799999999,91492.59,-3.1968923758401864e-07,183450.0,True,0.3272183333333333,0.32002371052900946,0.0
6627,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-10674341.2,49683.242,-3.727261717047468e-08,880752.6,True,0.3039749133333333,0.3261868779857953,5.2152990717735804e-08
6684,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-10640997.9,30015.59,-3.727261717047468e-08,648190.0,True,0.311727,0.32901588020225364,5.2152990717735804e-08
6763,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-10188497.2,78602.36,-3.1968923758401864e-07,387144.0,True,0.3204285333333333,0.32189888010422385,0.0
6843,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-10900532.8,527.25006,2.2403036548552096e-07,1129170.0,True,0.2956943333333333,0.3332600574746417,1.1228362662782058e-08
6906,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-10387730.6,773.1476,2.2146746067014045e-07,483930.0,True,0.3172023333333333,0.3332318756438326,3.275193228103811e-08
6969,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-10116634.2,33697.383,-1.4921014094110276e-07,483930.0,True,0.3172023333333333,0.3284800437589486,0.0
7046,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-10044031.5,139315.78,3.2397060899103326e-08,258096.0,True,0.32473013333333334,0.31505136936903,0.0
7126,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-11016538.4,107907.64,1.9116463524446848e-07,1129170.0,True,0.2956943333333333,0.317811860392491,1.282987267708801e-07
7194,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-10213424.4,464517.0,1.4672357737607234e-07,306489.0,True,0.3231170333333333,0.26877595484256744,0.0
7270,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-10165168.399999999,3333.6401,1.601831479125174e-07,274227.0,True,0.3241924333333333,0.332843503759553,9.870896895435473e-09
7341,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-10091566.3,26151.146,2.2403036548552096e-07,290358.0,True,0.32365473333333333,0.3296989143515626,1.1228362662782058e-08
7387,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-10328461.6,527.25006,3.339570737016317e-07,1129170.0,True,0.2956943333333333,0.33325663313735276,4.6367547787880726e-08
7450,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-10012838.6,4288.569,1.4672357737607234e-07,305205.0,True,0.3231598333333333,0.33273731905501336,0.0
7541,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-10298143.6,103389.16,3.2397060899103326e-08,539195.5,True,0.31536014999999995,0.3197659055391947,0.0
7601,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-10118750.1,9724.728,1.4672357737607234e-07,274227.0,True,0.3241924333333333,0.33198181570818025,0.0
7665,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-10503734.7,50796.324,-3.727261717047468e-08,645240.0,True,0.3118253333333333,0.3260267718384663,5.2152990717735804e-08
