timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes,budget_before_step,budget_exceeded,simulation_error
4816,,,,,0.08934492283670786,588726.8925041913,1.0,0.9999999973217955,0,,500000.0,True,
4816,,,,,0.08241479124844658,6814569.128907695,1.0,0.9999999986820659,15,,500000.0,True,
4816,,,,,0.08606593090745596,3534376.7987119257,1.0,0.9999999995793939,3,,500000.0,True,
4816,,,,,0.08793180075205843,1858718.7781975504,1.0,0.9999999667671695,2,,500000.0,True,
5160,,,,,0.08106242377998046,8026973.559618677,1.0,0.9999999979728954,16,,500000.0,True,
5160,,,,,0.08790179778828938,1885029.5483514639,1.0,0.9999999894290921,2,,500000.0,True,
5160,,,,,0.08855762379348174,1296283.5145071847,1.0,0.999999999676082,1,,500000.0,True,
5160,,,,,0.0739243643775023,14451717.964109331,1.0,0.9999999962858012,29,,1500000.0,True,
5160,,,,,0.07692631098399876,11749505.50401843,1.0,0.999999982874042,27,,1500000.0,True,
5160,,,,,0.08513936469412903,4366806.03209726,1.0,0.9999999993662835,7,,500000.0,True,
5160,,,,,0.08710560277094892,2600332.811903524,1.0,0.9999999789375773,3,,500000.0,True,
5160,,,,,0.08734814684609478,2383256.978748356,1.0,0.9999999852819393,2,,500000.0,True,
5504,,,,,0.08292346779303875,6355541.237829754,1.0,0.9999999816608706,12,,500000.0,True,
5504,,,,,0.08584680949848811,3731235.29177543,1.0,0.9999999612070409,4,,500000.0,True,
5504,,,,,0.08930050416514435,628646.6174114145,1.0,1.0,0,,500000.0,True,
5504,,,,,0.08037947681521723,8648683.737365788,1.0,1.0,19,,500000.0,True,
5504,,,,,0.07862544164607393,10222473.366542576,1.0,0.9999999926886574,23,,500000.0,True,
5504,,,,,0.08589218548185787,3690469.884585399,1.0,0.9999999880110932,7,,500000.0,True,
5504,,,,,0.08751080846742294,2236295.4518964184,1.0,1.0,3,,500000.0,True,
5504,,,,,0.08694987077276331,608956.0598964185,1.0,0.8813728450489466,0,,500000.0,True,
5848,,,,,0.08471513529478332,4746417.541957303,1.0,0.9999999944307483,8,,500000.0,True,
5848,,,,,0.08919867637556524,719910.8655951472,1.0,0.9999999922646405,0,,500000.0,True,
5848,,,,,0.08922611762069511,695498.6992459879,1.0,0.9999999923045617,0,,500000.0,True,
5848,,,,,0.08348228928434685,5859308.994779844,1.0,0.9999999962986362,11,,500000.0,True,
5848,,,,,0.08314601930254428,6159767.396749733,1.0,0.9999999885824093,12,,500000.0,True,
5848,,,,,0.08537490736577627,4155193.7432805407,1.0,0.9999999879147656,5,,500000.0,True,
5848,,,,,0.08727772674858936,2445696.609230472,1.0,1.0,3,,500000.0,True,
6192,,,,,0.08690393536387644,2780622.865380255,1.0,0.9999999982104009,5,,500000.0,True,
6192,,,,,0.08861714104248844,1242363.173391141,1.0,0.9999999708064834,1,,500000.0,True,
6192,,,,,0.08829425246016102,1532978.9516927483,1.0,0.9999999976578925,2,,500000.0,True,
6192,,,,,0.08357904467695841,5772327.499376416,1.0,0.9999999922367828,9,,500000.0,True,
6192,,,,,0.08133208445655347,7789976.029692818,1.0,1.0,14,,500000.0,True,
6192,,,,,0.08653831926316902,3109981.9731237246,1.0,0.9999999979044427,4,,500000.0,True,
6192,,,,,0.08933788002061459,594849.9130225244,1.0,0.9999999881084697,0,,500000.0,True,
6192,,,,,0.07436995191682083,14042071.432341827,1.0,0.9999999970462644,32,,1500000.0,True,
6536,,,,,0.08462697646079438,4825594.379088014,1.0,0.9999999968228688,8,,500000.0,True,
6536,,,,,0.08788633665527834,1898919.8049971815,1.0,0.9999999860260104,2,,500000.0,True,
6536,,,,,0.0891952925741501,723201.7348191786,1.0,1.0,1,,500000.0,True,
6536,,,,,0.08505168886841694,4448445.71248818,1.0,0.9999999832465337,7,,500000.0,True,
6536,,,,,0.084315197565625,5109010.569971392,1.0,0.9999999835286204,8,,500000.0,True,
6536,,,,,0.08858667990073991,1269729.7334179129,1.0,0.9999999819128563,1,,500000.0,True,
6536,,,,,0.08921967142140702,701048.8325808992,1.0,0.9999999903119043,0,,500000.0,True,
6536,,,,,0.0823997021736464,6828125.18873974,1.0,0.9999999986820659,15,,500000.0,True,
6880,,,,,0.0882273046074506,1592084.754354409,1.0,0.9999999983242444,1,,500000.0,True,
6880,,,,,0.08924515132849514,678157.5918602134,1.0,0.9999999884732335,0,,500000.0,True,
6880,,,,,0.0892780041299782,648867.5407237742,1.0,0.9999999905061996,0,,500000.0,True,
6880,,,,,0.08539879140306537,4136406.8460934525,1.0,1.0,5,,500000.0,True,
6880,,,,,0.08933904143993321,589530.4012875026,1.0,0.9997506307417486,0,,500000.0,True,
6880,,,,,0.08869289153637139,1174309.2708136328,1.0,0.9999999995793939,1,,500000.0,True,
6880,,,,,0.08800340142819842,1793748.5700497082,1.0,0.999999987630372,1,,500000.0,True,
6880,,,,,0.08153876451314909,7601593.594019662,1.0,0.9999999993662835,14,,500000.0,True,
7224,,,,,0.08676899480504051,2901814.876960273,1.0,0.9999999891032587,3,,500000.0,True,
7224,,,,,0.08916137343224068,753424.0323350133,1.0,0.9999999987123496,0,,500000.0,True,
7224,,,,,0.08917984299266453,737086.311072395,1.0,0.9999999901468128,0,,500000.0,True,
7224,,,,,0.08759176445908323,2163564.0225868435,1.0,0.9999999789375773,2,,500000.0,True,
7224,,,,,0.0892134943204252,706598.3385816128,1.0,0.9999999894290921,1,,500000.0,True,
7224,,,,,0.08479663309372674,4674716.693570573,1.0,0.9999999880110932,7,,500000.0,True,
7568,,,,,0.08857648545108543,1278480.0974799218,1.0,0.9999999976286374,2,,500000.0,True,
7568,,,,,0.08921591491451827,704423.7544131508,1.0,0.9999999940586727,0,,500000.0,True,
7568,,,,,0.08925520419099314,669358.0295282442,1.0,0.9999999831135511,0,,500000.0,True,
7568,,,,,0.07493622601593174,13530935.43976142,1.0,0.9999999736221856,29,,1500000.0,True,
7568,,,,,0.07614958891117744,12451279.644203333,1.0,0.9999999962858012,30,,1500000.0,True,
7568,,,,,0.08686305647983582,2818237.1242494485,1.0,0.9999999879147656,4,,500000.0,True,
7912,,,,,0.08865619410516007,1206892.541455537,1.0,0.9999999977735198,1,,500000.0,True,
7912,,,,,0.08913716800376228,775170.2431609377,1.0,0.9999999985834781,0,,500000.0,True,
7912,,,,,0.08850769901100991,1341151.5429545327,1.0,0.9999999959690064,1,,500000.0,True,
7912,,,,,0.08138878047067957,7734971.064335166,1.0,0.9999999863164402,15,,500000.0,True,
7912,,,,,0.08231927892095325,6904835.237304623,1.0,1.0,15,,500000.0,True,
7912,,,,,0.0717369108722704,16407601.619763225,1.0,0.9999999970462644,34,,1500000.0,True,
7912,,,,,0.07596798866500136,12614535.120609127,1.0,0.9999999962858012,32,,1500000.0,True,
7912,,,,,0.08735618635648588,2375208.277687489,1.0,0.9999999979044427,4,,500000.0,True,
8256,,,,,0.08858187226495089,1273641.7632303275,1.0,0.9999999778922517,1,,500000.0,True,
8256,,,,,0.08918382104452323,733256.8724223167,1.0,0.9999999890884556,0,,500000.0,True,
8256,,,,,0.08860818779140632,1250840.7612064527,1.0,0.9999999893045832,1,,500000.0,True,
8256,,,,,0.08374613462210877,5617493.274380525,1.0,0.9999999903980862,10,,500000.0,True,
8256,,,,,0.08298321235338191,6307970.512830982,1.0,0.9999999962986362,12,,500000.0,True,
8256,,,,,0.08041794592180598,8608539.606335705,1.0,0.9999999986820659,14,,500000.0,True,
8256,,,,,0.0808406242016122,8234120.22302892,1.0,1.0,14,,500000.0,True,
8256,,,,,0.08661673455015514,3039533.209905057,1.0,0.9999999819128563,3,,500000.0,True,
8600,,,,,0.08867547034199068,1189580.1308565992,1.0,0.9999999906400084,1,,500000.0,True,
8600,,,,,0.08910743535505242,801881.9618109125,1.0,0.9999999895686003,0,,500000.0,True,
8600,,,,,0.0823025061139614,6914223.0262504835,1.0,0.9999999869753621,13,,500000.0,True,
