timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes,budget_before_step,budget_exceeded,simulation_success
4024,,,,,0.9743988807218131,834758.2704809414,1.0,0.9999999836807377,3,,16454125.740084402,False,True
4080,,,,,0.9994569086754512,11.816079050495262,1.0,0.9981909035384607,0,,18908424.97843252,False,True
4080,,,,,0.9920826649976469,258155.04603421135,1.0,0.9999999828690885,1,,19611318.31657297,False,True
4080,,,,,0.985156572955284,483989.4771634771,1.0,0.9999999832925693,1,,16195616.813135717,False,True
4080,,,,,0.9737780145394801,855002.4771634771,1.0,0.9999999832925693,1,,21641092.094659027,False,True
4128,,,,,0.48350851084723534,2962725.131357443,1.0,0.9999999799897658,4,,1000000.0,True,True
4296,,,,,0.9999981761563574,59.26123992496573,1.0,0.9999999787770637,0,,16259222.090072384,False,True
4296,,,,,0.9999981796486279,59.26947296364338,1.0,0.9999999912597198,0,,16619367.46960346,False,True
4328,,,,,0.49041285966024395,1722621.827842452,1.0,1.0,3,,1122462.222779425,True,True
4352,,,,,0.9999103348016765,59.41397968822302,1.0,0.999707189875923,0,,19908413.16235347,False,True
4352,,,,,0.9830787717149612,551739.1017456554,1.0,1.0,2,,20353163.27053876,False,True
4352,,,,,0.9999981627257626,59.74081194792158,1.0,0.9999999830346634,0,,16711627.33597224,False,True
4352,,,,,0.9999981627257626,59.74081194792158,1.0,0.9999999830346634,0,,21786089.617495548,False,True
4472,,,,,0.9925601137979112,668294.3670427775,1.0,0.9999999963689883,0,,1000000.0,False,True
4568,,,,,0.9982927224431122,59.183684638101,1.0,0.9943151251377961,0,,17259162.82883246,False,True
4568,,,,,0.9999981849017452,59.183684638101,1.0,1.0,0,,17619308.200130496,False,True
4624,,,,,0.9955457025364736,145238.15984424658,1.0,0.9999999877779758,1,,20801424.168793105,False,True
4632,,,,,0.9881685194414239,385780.9554118939,1.0,0.9999999834310639,1,,20908353.748373784,False,True
4632,,,,,0.9730164548193403,879834.207641362,1.0,0.999999989935282,2,,17711567.59516029,False,True
