timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes,budget_before_step,budget_exceeded,simulation_error
1360,,,,,0.09594411814028386,1322473.9722053045,1.0,0.9999999905771657,4,,500000.0,True,
1360,,,,,0.07612731919924659,3439215.100417655,0.9963918117386179,0.5606446592195128,10,,500000.0,True,
1360,,,,,0.08914827046273621,1530945.9722053045,0.9998258034440597,0.7950160165261403,5,,500000.0,True,
1360,,,,,0.09785661275410801,698879.7220226487,1.0,0.9999999866042624,3,,500000.0,True,
1360,,,,,0.09439029144900238,1829119.804409523,1.0,0.999999989133002,7,,500000.0,True,
1360,,,,,0.0967847881099464,1048362.4728593265,1.0,1.0,4,,500000.0,True,
1360,,,,,0.9887420423723867,367080.4728593265,1.0,0.9999999849206223,3,,500000.0,False,
1360,,,,,0.06070587711495889,5326829.170013597,0.9634046249562777,0.2835496491219721,20,,1500000.0,True,
1632,,,,,0.09571628199786,1387325.3686317,1.0,0.999035188116597,3,,500000.0,True,
1632,,,,,0.08251955943911662,1792663.3488785569,0.9961937207408417,0.6056570400859489,8,,500000.0,True,
1632,,,,,0.09717086628514603,922476.4086014504,1.0,0.9999999840982264,2,,500000.0,True,
1632,,,,,0.9850919363102983,486097.19875924184,1.0,1.0,2,,500000.0,False,
1632,,,,,0.0965510098568797,1124588.8729205693,1.0,0.9999999867724637,4,,500000.0,True,
1632,,,,,0.09649681395708753,1142260.1086014505,1.0,0.9999999840982264,3,,500000.0,True,
1632,,,,,0.09697216073683082,987267.0975072826,1.0,1.0,3,,632919.5271406735,True,
1632,,,,,0.09217779750143312,2550532.6462432984,1.0,0.999999990931731,7,,500000.0,True,
1904,,,,,0.9876205186347806,403649.40602844354,1.0,1.0,2,,500000.0,False,
1904,,,,,0.09618121099321844,1245166.5601473642,1.0,0.9999999791739898,5,,500000.0,True,
1904,,,,,0.09435717186733594,1839918.9407641902,1.0,1.0,4,,500000.0,True,
1904,,,,,0.09474589162349756,1713171.6060284434,1.0,0.9999999847500154,4,,513902.80124075816,True,
1904,,,,,0.097949153237699,665646.6032720847,1.0,0.999687259351337,2,,500000.0,True,
1904,,,,,0.09347035992429775,2129075.5930191567,1.0,0.9999999855283376,6,,500000.0,True,
1904,,,,,0.09772189620761834,742805.8111751346,1.0,0.9999999892315978,3,,500000.0,True,
1904,,,,,0.09420780881867108,1888620.4850149876,1.0,0.9999999825091612,5,,500000.0,True,
2176,,,,,0.9861460194731045,451727.31819341006,1.0,0.9999999909733948,3,,596350.5939715565,False,
2176,,,,,0.09727885808274904,887264.31819341,1.0,0.9999999909733948,3,,500000.0,True,
2176,,,,,0.9920826444232482,258155.72679633796,1.0,0.9999999838818323,1,,500000.0,False,
2176,,,,,0.09644772903257715,1158265.0070518483,1.0,0.9999999919748664,2,,500000.0,True,
