timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes,budget_before_step,budget_exceeded,simulation_success
1376,,,,,0.42064558536168706,14263382.35006259,1.0,0.999999982874042,35,,3000000.0,True,True
1376,,,,,0.47401406354371456,4672181.16191317,1.0,0.9999999922367828,7,,1000000.0,True,True
1376,,,,,0.4741401917271943,4649503.860920707,1.0,0.9999999962986362,8,,1000000.0,True,True
1720,,,,,0.47239660046675197,4958913.11886719,1.0,0.9999999517468117,7,,1000000.0,True,True
1720,,,,,0.4796577120983486,3655111.4099773867,1.0,0.9999999879147656,5,,1000000.0,True,True
1720,,,,,0.4843549531698814,2810660.7608562056,1.0,0.9999999990742935,5,,1000000.0,True,True
1720,,,,,0.44539991850481264,9816905.54279219,1.0,1.0,19,,1000000.0,True,True
1720,,,,,0.47465886466107554,4554886.024580023,1.0,1.0,8,,1000000.0,True,True
1720,,,,,0.44541233295148097,9811738.638894388,1.0,0.9999999926886574,19,,1000000.0,True,True
1720,,,,,0.4740176863275988,4671529.5554561345,1.0,0.9999999832465337,7,,1000000.0,True,True
1720,,,,,0.46115170480154477,6984788.714349108,1.0,0.9999999922367828,12,,1000000.0,True,True
2064,,,,,0.4810499227315957,3404958.626193108,1.0,0.9999999979044427,4,,1000000.0,True,True
2064,,,,,0.48071388792376984,3464784.646500538,1.0,0.999999997930583,5,,1000000.0,True,True
2064,,,,,0.46705365179875985,5923639.195476897,1.0,0.9999999962986362,9,,1000000.0,True,True
2064,,,,,0.4699463202980299,5401931.388514087,1.0,0.9999999835286204,9,,1000000.0,True,True
2064,,,,,0.46261813957817843,6719119.073790847,1.0,0.9999999885824093,12,,1000000.0,True,True
2064,,,,,0.4819198071984324,3250756.0440931837,1.0,1.0,4,,1000000.0,True,True
2064,,,,,0.4888384176305512,2006813.3995102593,1.0,0.9999999832465337,3,,1000000.0,True,True
2408,,,,,0.42330239417894266,13343770.476511955,1.0,0.9838542379188498,30,,3000000.0,True,True
2408,,,,,0.4929358788420253,1269284.0822609975,1.0,0.9999999819128563,1,,1000000.0,True,True
2408,,,,,0.49416063822294654,1049051.8373865169,1.0,0.9999999999104812,1,,1000000.0,True,True
2408,,,,,0.48671974663359785,2387743.3491045963,1.0,0.9999999922367828,6,,1000000.0,True,True
2408,,,,,0.4798764061931817,3617070.472857669,1.0,0.9999999944208072,4,,1000000.0,True,True
2408,,,,,0.4669122248646046,5947288.569867826,1.0,1.0,10,,1000000.0,True,True
2408,,,,,0.4897065859557025,1850720.1663188986,1.0,0.9999999989949849,2,,1000000.0,True,True
2408,,,,,0.48271003437267745,3108675.9351542313,1.0,1.0,4,,1000000.0,True,True
2752,,,,,0.45586132140959057,7929592.916163981,1.0,0.9999999987333534,14,,1000000.0,True,True
2752,,,,,0.4876911974296205,2211651.3498535743,1.0,0.9999999995793939,3,,1000000.0,True,True
2752,,,,,0.4875911266969603,2229276.060126624,1.0,0.9999999875927282,3,,1000000.0,True,True
2752,,,,,0.48645238275059355,2435085.8947944515,1.0,0.9999999835286204,2,,1000000.0,True,True
2752,,,,,0.4802009617427556,3559798.476614149,1.0,0.9999999989949849,4,,1000000.0,True,True
3096,,,,,0.46768480029820614,5805483.304493253,1.0,0.9999999847795655,8,,1000000.0,True,True
3096,,,,,0.4937316084055652,1126306.9446132525,1.0,0.9999999789375773,1,,1000000.0,True,True
3096,,,,,0.4859762977871786,2519382.6094480148,1.0,0.999999973971624,3,,1000000.0,True,True
3096,,,,,0.4251870616141372,13440045.268111449,1.0,0.9999999736221856,30,,3000000.0,True,True
3096,,,,,0.4330417320623167,12038864.561802074,1.0,0.9999999962858012,26,,3000000.0,True,True
3096,,,,,0.49009829100632357,1779760.515843606,1.0,0.9999999944208072,3,,1000000.0,True,True
3096,,,,,0.42161902856137945,14081037.712974973,1.0,0.9999999736221856,34,,3000000.0,True,True
