timesteps,total_reward,kl_divergence,entropy_loss,clip_fraction,step_reward,pipe_changes,cumulative_pipe_changes,cumulative_budget,pressure_deficit,demand_satisfaction,cost_of_intervention,simulation_success,weighted_cost,weighted_pd,weighted_demand,action_taken
19600,0.9982603,0.003535252,-0.5073028255254031,0.02392578125,0.9982603111762645,0,7197045.88773176,0.0,1.0,4349.222059338769,True,0.39826031117626454,0.3,0.3,73,0
19700,0.9981871,0.003535252,-0.5073028255254031,0.02392578125,0.998187110105651,0,3808423.0988026634,0.0,1.0,4532.224735872814,True,0.3981871101056509,0.3,0.3,73,0
19800,0.09981194,0.003535252,-0.5073028255254031,0.02392578125,0.09981193883215059,0,-4448.351813345088,0.0,1.0,4701.529196235654,True,0.39811938832150573,0.3,0.3,73,0
19882,0.0,0.003535252,-0.5073028255254031,0.02392578125,0.0,0,-1002219.916347973,0.0,1.0,4688.333499232325,True,0.3981246666003071,0.3,0.3,73,0
19900,0.9848911,0.003535252,-0.5073028255254031,0.02392578125,0.9848910890253697,0,13614485.91655319,0.019783552438020713,0.9585716814660298,4846.801032121581,True,0.39806127958715143,0.29999954428853476,0.2868302651496834,73,0
20000,0.99807596,0.003535252,-0.5073028255254031,0.02392578125,0.998075979935882,0,4271696.457280183,0.0,1.0,4810.050160294909,True,0.39807597993588206,0.3,0.3,73,0
20100,0.99817824,0.003535252,-0.5073028255254031,0.02392578125,0.9981782374098949,0,1079962.028889758,0.0,1.0,4554.406475263173,True,0.3981782374098948,0.3,0.3,73,0
20181,0.0,0.003535252,-0.5073028255254031,0.02392578125,0.0,0,-1003564.980195163,0.0,1.0,4846.171398248554,True,0.3980615314407006,0.3,0.3,73,0
20200,0.76206726,0.003535252,-0.5073028255254031,0.02392578125,0.7620672650667553,1,13211264.004799321,0.0,1.0,594831.8373331119,True,0.16206726506675523,0.3,0.3,74,6
20300,0.91322577,0.003535252,-0.5073028255254031,0.02392578125,0.9132257912613073,0,6277841.707960705,9.362382216453552,0.7336342494717044,4822.254327569785,True,0.39807109826897213,0.29977700648268696,0.21537768650964823,74,0
20400,0.998137,0.003535252,-0.5073028255254031,0.02392578125,0.9981369752711826,0,2171529.817036642,0.0,1.0,4657.561822043364,True,0.3981369752711827,0.3,0.3,74,0
20500,0.099816054,0.007132561,-0.44830353343859314,0.03955078125,0.09981605130249237,0,-692665.8582533892,0.0,1.0,4598.717437691037,True,0.3981605130249236,0.3,0.3,74,0
20600,0.099814884,0.007132561,-0.44830353343859314,0.03955078125,0.09981488683107345,0,-964335.655954783,0.0,1.0,4627.829223164077,True,0.39814886831073437,0.3,0.3,74,0
20607,0.0,0.007132561,-0.44830353343859314,0.03955078125,0.0,0,-1004191.5798973187,0.0,1.0,4628.781119895268,True,0.3981484875520419,0.3,0.3,74,0
